	0	1	2
540.0	466726653597.5738	558946650542.7881	581374254305.5099
541.0	477382219568.9115	572561856250.2277	589682455665.6119
542.0	494913805810.3367	597999386409.5133	619699317408.9791
543.0	498465830414.17676	599980230987.2009	615244683164.8474
544.0	510639538515.7575	616823904287.6791	633631802812.8126
545.0	514726744598.74457	624384594325.5168	645400266778.1161
546.0	522005186230.1612	633383426575.534	647273324358.0967
547.0	520948733511.7971	641717350498.5219	656135734868.2654
548.0	504129035938.5106	628486355242.9843	643504830973.6813
549.0	520936786413.88727	654037391257.6833	666121238100.7865
550.0	517533496722.45526	654356301260.202	670820924269.0111
551.0	532150808727.8844	664969205433.8494	683977288594.7522
552.0	535601044336.9425	681139523858.0366	695536995661.591
553.0	545624699066.86633	691977058986.814	708391860777.9724
554.0	531980936969.2767	687923122155.4696	704058000075.9799
555.0	545518674078.1543	693661364328.7169	711303341080.8687
556.0	548714529187.65173	716677051363.6412	730567179230.8126
557.0	559984338273.7352	719389074381.0956	737099076095.0114
558.0	569746989768.5664	735437137178.7659	752415821199.1348
559.0	572933425513.009	751639549066.0109	765135900868.9194
560.0	548062904610.1603	736235723919.4872	748558230720.7805
561.0	575259758939.3308	755263418636.7462	768362302007.5431
562.0	579526332961.3608	763849935861.0972	778293771057.122
563.0	582115750190.9304	779866567078.9263	792672971760.4856
564.0	600094667919.461	786353396553.3788	802799877897.0074
565.0	609867067234.0149	816768900884.6023	834103084700.4795
566.0	589615815220.6465	795111994839.234	814819026594.5413
567.0	604072018632.847	816452668848.0586	832150282516.5898
568.0	587554648741.73	805457839747.5546	819188725215.4054
569.0	608351174886.4895	821761907226.3856	837475934822.2804
570.0	616607054309.0391	838644253659.2279	851575432389.898
571.0	627427650244.0898	844234145699.2693	861964581747.7273
572.0	601640455025.1587	826180529840.8467	844376299801.9554
573.0	592305969520.2955	813958231454.7534	831133635194.6208
574.0	596559095057.4882	817670195698.352	827551526749.0312
575.0	597039163163.7183	816819173511.9781	832868995965.1067
576.0	572543484785.9474	814747683911.5457	821836829065.4424
577.0	598805055196.6434	824188546269.0176	842190912873.346
578.0	626398401749.8118	849035555746.491	864810439255.3916
579.0	616633589044.0046	851532232701.0956	872254285089.5112
580.0	586346617000.881	845563892490.1571	850652136153.1149
581.0	618735550944.5294	876704005186.8763	893344176318.6061
582.0	611631463442.6677	856210344562.8086	865087619033.0804
583.0	618319528526.8973	860995988398.375	867800197979.7977
