wavelength	ocp	red	diff
463.29	0.868	1.1393	0.2713
463.87	0.8584	1.1313	0.2729
464.46	0.848	1.1226	0.2746
465.05	0.8373	1.1133	0.276
465.63	0.8274	1.1043	0.2769
466.22	0.8168	1.0954	0.2786
466.81	0.8069	1.0865	0.2796
467.39	0.7967	1.0778	0.2811
467.98	0.7865	1.0694	0.2829
468.57	0.7754	1.059	0.2836
469.15	0.7638	1.0485	0.2847
469.74	0.7525	1.0384	0.2859
470.32	0.7407	1.0277	0.287
470.91	0.7283	1.016	0.2877
471.5	0.715	1.0034	0.2884
472.08	0.7013	0.9903	0.289
472.67	0.6885	0.9781	0.2896
473.26	0.6766	0.9664	0.2898
473.84	0.6644	0.9547	0.2903
474.43	0.652	0.9431	0.2911
475.01	0.6398	0.9314	0.2916
475.6	0.6286	0.9213	0.2927
476.18	0.6173	0.9111	0.2938
476.77	0.6056	0.9004	0.2948
477.36	0.5945	0.8903	0.2958
477.94	0.5833	0.8806	0.2973
478.53	0.5723	0.8708	0.2985
479.11	0.5613	0.8607	0.2994
479.7	0.5507	0.8503	0.2996
480.28	0.5398	0.8398	0.3
480.87	0.5291	0.8302	0.3011
481.46	0.5186	0.8199	0.3013
482.04	0.5073	0.8083	0.301
482.63	0.4958	0.7963	0.3005
483.21	0.4849	0.7851	0.3002
483.8	0.4748	0.7744	0.2996
484.38	0.4645	0.7631	0.2986
484.97	0.4539	0.7516	0.2977
485.55	0.4428	0.7397	0.2969
486.14	0.4325	0.7284	0.2959
486.72	0.4222	0.7168	0.2946
487.31	0.4116	0.7047	0.2931
487.89	0.4004	0.6921	0.2917
488.48	0.3897	0.6795	0.2898
489.06	0.3796	0.668	0.2884
489.65	0.3698	0.6563	0.2865
490.23	0.3603	0.6445	0.2842
490.82	0.351	0.6332	0.2822
491.4	0.3416	0.6216	0.28
491.99	0.3318	0.6099	0.2781
492.57	0.3224	0.5982	0.2758
493.16	0.3133	0.5868	0.2735
493.74	0.3044	0.5757	0.2713
494.33	0.2962	0.566	0.2698
494.91	0.2885	0.5569	0.2684
495.5	0.2812	0.5479	0.2667
496.08	0.2737	0.5394	0.2657
496.67	0.2672	0.5316	0.2644
497.25	0.2604	0.5238	0.2634
497.84	0.2542	0.5166	0.2624
498.42	0.2481	0.5088	0.2607
499	0.2422	0.5016	0.2594
499.59	0.2365	0.4941	0.2576
500.17	0.2313	0.4872	0.2559
500.76	0.2263	0.4807	0.2544
501.34	0.2214	0.4744	0.253
501.93	0.2166	0.4681	0.2515
502.51	0.2118	0.4616	0.2498
503.09	0.2072	0.4549	0.2477
503.68	0.2026	0.4488	0.2462
504.26	0.1984	0.4433	0.2449
504.85	0.1944	0.4377	0.2433
505.43	0.1903	0.4324	0.2421
506.02	0.1863	0.4272	0.2409
506.6	0.1824	0.422	0.2396
507.18	0.1787	0.417	0.2383
507.77	0.1749	0.4121	0.2372
508.35	0.1709	0.4068	0.2359
508.93	0.167	0.4019	0.2349
509.52	0.1637	0.3973	0.2336
510.1	0.1605	0.3932	0.2327
510.69	0.1572	0.3897	0.2325
511.27	0.1539	0.3862	0.2323
511.85	0.1511	0.3835	0.2324
512.44	0.1484	0.3814	0.233
513.02	0.146	0.38	0.234
513.6	0.1437	0.3786	0.2349
514.19	0.1411	0.3771	0.236
514.77	0.1386	0.3756	0.237
515.35	0.136	0.3739	0.2379
515.94	0.1337	0.3723	0.2386
516.52	0.1312	0.3707	0.2395
517.1	0.1286	0.3694	0.2408
517.69	0.1263	0.3682	0.2419
518.27	0.1241	0.3673	0.2432
518.85	0.1221	0.3666	0.2445
519.44	0.1201	0.366	0.2459
520.02	0.1183	0.3655	0.2472
520.6	0.1167	0.3652	0.2485
521.19	0.115	0.365	0.25
521.77	0.1131	0.3648	0.2517
522.35	0.1113	0.3646	0.2533
522.94	0.1096	0.3644	0.2548
523.52	0.1079	0.3643	0.2564
524.1	0.1062	0.3643	0.2581
524.68	0.1046	0.3641	0.2595
525.27	0.1028	0.3637	0.2609
525.85	0.1011	0.3633	0.2622
526.43	0.0996	0.3633	0.2637
527.01	0.0979	0.3635	0.2656
527.6	0.0965	0.364	0.2675
528.18	0.095	0.3648	0.2698
528.76	0.0937	0.3658	0.2721
529.34	0.0927	0.3668	0.2741
529.93	0.0916	0.3679	0.2763
530.51	0.0906	0.3691	0.2785
531.09	0.0895	0.3703	0.2808
531.67	0.0883	0.3714	0.2831
532.26	0.0868	0.3725	0.2857
532.84	0.0854	0.3735	0.2881
533.42	0.0839	0.3743	0.2904
534	0.0826	0.3752	0.2926
534.59	0.0812	0.3762	0.295
535.17	0.0798	0.3772	0.2974
535.75	0.0784	0.3782	0.2998
536.33	0.0768	0.3792	0.3024
536.91	0.0752	0.3803	0.3051
537.5	0.0737	0.3811	0.3074
538.08	0.0721	0.3819	0.3098
538.66	0.0706	0.3828	0.3122
539.24	0.0692	0.3836	0.3144
539.82	0.0679	0.3845	0.3166
540.41	0.0665	0.3857	0.3192
540.99	0.0652	0.387	0.3218
541.57	0.0639	0.3884	0.3245
542.15	0.0625	0.3897	0.3272
542.73	0.0611	0.3911	0.33
543.31	0.0598	0.3928	0.333
543.9	0.0585	0.3944	0.3359
544.48	0.0574	0.3962	0.3388
545.06	0.0564	0.3981	0.3417
545.64	0.0554	0.4002	0.3448
546.22	0.0544	0.4027	0.3483
546.8	0.0534	0.405	0.3516
547.38	0.0525	0.4073	0.3548
547.97	0.0515	0.4095	0.358
548.55	0.0506	0.4115	0.3609
549.13	0.0496	0.4138	0.3642
549.71	0.0487	0.4163	0.3676
550.29	0.0477	0.4187	0.371
550.87	0.0466	0.4211	0.3745
551.45	0.0456	0.4236	0.378
