	A	B	C
449.0	-6.907864224990344e+37	-6.90786422499034e+37	-7.264055369361351e+37
450.0	-6.946135778839046e+37	-6.946135778839044e+37	-7.310209364662514e+37
451.0	-6.777389680955985e+37	-6.777389680955983e+37	-7.141666682426626e+37
452.0	-6.639730898484047e+37	-6.639730898484044e+37	-7.033308410302168e+37
453.0	-6.400993067986735e+37	-6.400993067986732e+37	-6.817819982105329e+37
454.0	-6.473796665424111e+37	-6.473796665424108e+37	-6.885579392917518e+37
455.0	-6.246268001213698e+37	-6.246268001213695e+37	-6.680414197659376e+37
456.0	-6.165744000157872e+37	-6.16574400015787e+37	-6.620946664381373e+37
457.0	-5.929470991854623e+37	-5.92947099185462e+37	-6.37589960366135e+37
458.0	-5.948862235709984e+37	-5.94886223570998e+37	-6.39701285271302e+37
459.0	-5.782752513583477e+37	-5.782752513583475e+37	-6.224472721074126e+37
460.0	-5.750974667083256e+37	-5.750974667083254e+37	-6.158822698882251e+37
461.0	-5.522661231629277e+37	-5.522661231629274e+37	-5.950630837332774e+37
462.0	-5.545814682457409e+37	-5.5458146824574065e+37	-5.953973897942041e+37
463.0	-5.293071996944264e+37	-5.293071996944262e+37	-5.717757798503695e+37
464.0	-5.288490803970199e+37	-5.288490803970198e+37	-5.705161283830516e+37
465.0	-5.054910570813222e+37	-5.054910570813219e+37	-5.445540562171632e+37
466.0	-5.0036960348919235e+37	-5.003696034891922e+37	-5.402144710046272e+37
467.0	-4.927571383651953e+37	-4.927571383651952e+37	-5.281520075743214e+37
468.0	-4.803155985271321e+37	-4.80315598527132e+37	-5.173212784353437e+37
469.0	-4.564150721575849e+37	-4.564150721575846e+37	-4.93447859071555e+37
470.0	-4.580735037578691e+37	-4.580735037578689e+37	-4.895620733883883e+37
471.0	-4.337329385742925e+37	-4.337329385742922e+37	-4.63158503095677e+37
472.0	-4.207999617963984e+37	-4.2079996179639825e+37	-4.477264551672783e+37
473.0	-4.040579992413511e+37	-4.0405799924135097e+37	-4.308610449194263e+37
474.0	-3.939897408767982e+37	-3.9398974087679803e+37	-4.207316608230791e+37
475.0	-3.757016354327479e+37	-3.757016354327478e+37	-4.0261020822892247e+37
476.0	-3.6625560351759677e+37	-3.662556035175966e+37	-3.9178410039289724e+37
477.0	-3.5182216101182745e+37	-3.5182216101182735e+37	-3.758431354457429e+37
478.0	-3.3441506030476514e+37	-3.3441506030476505e+37	-3.559161683557898e+37
479.0	-3.1638336773585493e+37	-3.1638336773585475e+37	-3.346904940328031e+37
480.0	-3.0591226806514633e+37	-3.0591226806514624e+37	-3.2280965250339972e+37
481.0	-2.887631653281936e+37	-2.887631653281935e+37	-3.045748409550582e+37
482.0	-2.7310812235837314e+37	-2.7310812235837305e+37	-2.9115995608894855e+37
483.0	-2.603407883847534e+37	-2.603407883847533e+37	-2.752977686637608e+37
484.0	-2.495670789609049e+37	-2.495670789609048e+37	-2.63371480562959e+37
485.0	-2.330591591503112e+37	-2.3305915915031104e+37	-2.478407508569471e+37
486.0	-2.2679598109598297e+37	-2.2679598109598288e+37	-2.3757530412623225e+37
487.0	-2.0005329786158996e+37	-2.0005329786158986e+37	-2.157563114376862e+37
488.0	-1.8512345723008579e+37	-1.8512345723008567e+37	-2.0098773019049528e+37
489.0	-1.7577751796713527e+37	-1.7577751796713518e+37	-1.8842497461242915e+37
490.0	-1.60980392909301e+37	-1.6098039290930093e+37	-1.7483953595685008e+37
491.0	-1.473951378095767e+37	-1.4739513780957666e+37	-1.6004674948757144e+37
492.0	-1.3764584297167356e+37	-1.376458429716735e+37	-1.499264562496233e+37
493.0	-1.2990784830177137e+37	-1.299078483017713e+37	-1.420542185282831e+37
494.0	-1.1410071639938444e+37	-1.1410071639938444e+37	-1.275610575561378e+37
495.0	-1.0044861356830217e+37	-1.0044861356830214e+37	-1.112230887583228e+37
496.0	-9.726328569038148e+36	-9.726328569038144e+36	-1.0800430411069454e+37
497.0	-8.445597292267727e+36	-8.445597292267723e+36	-9.558812978650753e+36
498.0	-7.545187785311527e+36	-7.545187785311521e+36	-8.744343469246215e+36
499.0	-6.425047922053614e+36	-6.425047922053612e+36	-7.529543980098884e+36
500.0	-5.916017579426113e+36	-5.91601757942611e+36	-6.949436638018736e+36
501.0	-4.6313968341602705e+36	-4.6313968341602676e+36	-5.57741456511399e+36
502.0	-3.854910203890256e+36	-3.8549102038902544e+36	-4.772627320795839e+36
503.0	-3.609611772286965e+36	-3.609611772286963e+36	-4.4109737750077753e+36
504.0	-2.7471076916794053e+36	-2.747107691679405e+36	-3.4220665050342296e+36
505.0	-1.891351652805557e+36	-1.8913516528055566e+36	-2.5637261520774706e+36
506.0	-1.519705142842614e+36	-1.5197051428426133e+36	-2.0675208623083182e+36
507.0	-4.172848738454806e+35	-4.1728487384548035e+35	-7.841394838282866e+35
508.0	7.082840138589981e+34	7.082840138589976e+34	-2.3522889151132902e+35
509.0	7.935112160575613e+35	7.93511216057561e+35	5.9854668954523176e+35
510.0	1.2602679854495796e+36	1.2602679854495795e+36	1.11991719939395e+36
511.0	1.8779901796266202e+36	1.8779901796266193e+36	1.844172920449123e+36
512.0	2.3839531506991648e+36	2.383953150699164e+36	2.5276070245418422e+36
513.0	2.5963987370414792e+36	2.596398737041478e+36	2.8354352413012984e+36
