	A	B	C
619.0	254996714066.9149	254996714066.91513	326138269210.49255
620.0	246096873857.66885	246096873857.66904	337829673022.90784
621.0	249952712431.61835	249952712431.61853	328482710481.48126
622.0	242311309795.36145	242311309795.36166	324994366820.33374
623.0	247387170488.84445	247387170488.8446	330928850791.13965
624.0	252846119140.67996	252846119140.68018	333424909238.6085
625.0	243936253545.7458	243936253545.74597	314782339248.87897
626.0	266581577778.94876	266581577778.94894	336257976704.50916
627.0	262911326401.8989	262911326401.89905	332491187823.0714
628.0	252080193167.3337	252080193167.33386	316546612234.5554
629.0	239283909784.23886	239283909784.239	303679606704.00494
630.0	250754622276.5133	250754622276.51343	316979884021.2438
631.0	234552761303.49637	234552761303.49652	294306007866.47876
632.0	251952271949.10037	251952271949.1006	321664094769.8541
633.0	218489885349.5242	218489885349.52432	289046398051.6075
634.0	223241323743.27905	223241323743.27917	280845934029.23596
635.0	247363751674.47247	247363751674.47263	308748390130.9985
636.0	215969315330.24707	215969315330.24728	283797438015.11053
637.0	230240540673.23492	230240540673.2351	287200036386.221
638.0	251405783863.83704	251405783863.8372	304237268628.45105
639.0	228214145552.9525	228214145552.9527	277045045206.9693
640.0	199088004118.8608	199088004118.86093	255776764198.99976
641.0	233054634456.95953	233054634456.95978	280760196998.1098
642.0	224068772772.4589	224068772772.45905	273789862675.06302
643.0	242277546851.3655	242277546851.3657	294050160869.58704
644.0	238810737121.2095	238810737121.2097	284922207124.6794
645.0	221408090947.2177	221408090947.21786	270680905490.32108
646.0	244904074497.30844	244904074497.30865	276327762752.21515
647.0	233640153954.6668	233640153954.66702	279832734367.6353
648.0	220336596776.63324	220336596776.63333	262379481029.65204
649.0	240138511808.38965	240138511808.3898	282641919668.91376
650.0	239361079900.5959	239361079900.5961	270489640039.03586
651.0	224274747459.06174	224274747459.06195	269450722855.73828
652.0	225486547248.05807	225486547248.05826	261402225463.1533
653.0	198737375184.37845	198737375184.37857	241084384116.77997
654.0	223517593660.64502	223517593660.6451	254125829185.88828
655.0	190882426052.82593	190882426052.8261	227360038989.50922
656.0	196653562465.27716	196653562465.27725	229556564061.45743
657.0	210156494454.7182	210156494454.71832	247761401303.26596
