	A	B	C
514.0	66099276314.58298	66099276314.58288	70550530945.81784
515.0	79938272259.76398	79938272259.76385	87096691566.67296
516.0	90168696610.1171	90168696610.11697	99736174348.63834
517.0	107965946377.52422	107965946377.52405	119452754584.0519
518.0	101833802737.98235	101833802737.9822	114768478927.0387
519.0	111942978173.3318	111942978173.33168	128046617422.62173
520.0	118970035497.7673	118970035497.76712	134529760178.92557
521.0	130572079164.88745	130572079164.88724	147459781565.46866
522.0	133376919818.19135	133376919818.19115	153574209189.36847
523.0	142443715267.4252	142443715267.42502	161584786238.6317
524.0	147598369707.1843	147598369707.18408	167985496331.64886
525.0	163507823699.75778	163507823699.75757	187001555075.63843
526.0	160248554558.7648	160248554558.7646	185475466713.72687
527.0	169389471308.94107	169389471308.94083	198862757846.9461
528.0	173219154752.8619	173219154752.86166	203541111538.9847
529.0	188488154967.15228	188488154967.15204	218731286793.4883
530.0	190733274079.08624	190733274079.08597	221952520144.48538
531.0	195710077519.17325	195710077519.17297	232803186688.0677
532.0	193404375586.88556	193404375586.88535	231534619706.27518
533.0	204288083700.81592	204288083700.8156	242819710441.818
534.0	205834792074.2051	205834792074.2048	251317396949.25912
535.0	217048107797.9957	217048107797.99542	257449268783.437
536.0	216271998131.18472	216271998131.1845	259918668292.7572
537.0	228755982190.72095	228755982190.72055	275195747554.5259
538.0	232864020559.86243	232864020559.86206	279403997081.8716
539.0	229413946900.19833	229413946900.19806	281774116982.0977
540.0	232528088436.7062	232528088436.70587	287084033516.1142
541.0	238360981863.04852	238360981863.04825	292171876877.6923
542.0	246803281894.0737	246803281894.0734	306420043080.1898
543.0	248954171475.5811	248954171475.58075	305342713246.4383
544.0	255208597084.17303	255208597084.1727	314277757532.82733
545.0	257090544574.39865	257090544574.39835	319406170549.5574
546.0	261582578563.85663	261582578563.85623	321592345231.135
547.0	261303132249.68958	261303132249.68915	325924583634.8221
548.0	252747377304.66324	252747377304.66293	319529038802.41943
549.0	261713701555.46796	261713701555.4676	331391660629.6674
550.0	259508256507.3997	259508256507.39923	333005525647.74976
551.0	266418245509.48126	266418245509.4809	339137512733.74646
552.0	268800653938.2117	268800653938.21133	345799824412.72015
553.0	273877844766.79922	273877844766.79883	351819996088.3764
554.0	267346824863.72424	267346824863.72388	349757399289.0247
555.0	273347722156.89032	273347722156.88998	353120475637.1186
556.0	275988197033.68317	275988197033.68286	363490250873.7595
557.0	280886010832.39734	280886010832.39685	366013158609.19305
558.0	285924103774.47754	285924103774.4771	373840555033.47943
559.0	288237083324.5593	288237083324.559	380866323704.9879
560.0	275958118190.9766	275958118190.9763	372821366052.79614
561.0	289180290159.6614	289180290159.66095	382573032763.1491
562.0	291426496880.76404	291426496880.7636	387306430025.2081
